"id","name"
"615","Lohardaga"
"616","Ramgarh"
"617","Ranchi"
"618","Sahibganj"
"619","West Singhbhum"
"620","Simdega"
"621","Seraikela-Kharsawan"
"622","Deoghar"
"623","Chatra"
"624","Bokaro"
"700","Alappuzha"
"701","Ernakulam"
"702","Ernakulam"
"703","Kannur"
"704","Kasargod"
"705","Kollam"
"706","Kottayam"
"707","Kozhikode"
"708","Malappuram"
"709","Palakkad"
"710","Pathanamthitta"
"711","Thiruvananthapuram"
"712","Thrissur"
"713","Wayanad"
"720","Lakshadweep"

